Rank,Kelime,Frekans,Zipf Yaklaşık
1,kumaş,3583,3583.0
2,ön,3452,1791.5
3,çıkan,3452,1194.33
4,özellik,3452,895.75
5,tasarım,2988,716.6
6,düğmeli,2619,597.17
7,cepli,2413,511.86
8,kolay,2412,447.88
9,ütülenir,2412,398.11
10,yumuşak,2380,358.3
11,doku,2380,325.73
12,rahat,2347,298.58
13,model,2342,275.62
14,günlük,2322,255.93
15,kullanım,2322,238.87
16,uyg,2322,223.94
17,nefes,2282,210.76
18,alabilir,2282,199.06
19,esnek,2276,188.58
20,yapı,2276,179.15
21,şık,2270,170.62
22,kalıp,2260,162.86
23,çift,2254,155.78
24,sezo,1369,149.29
25,hırk,1143,143.32
26,çant,1110,137.81
27,gömlek,1053,132.7
28,pantolon,1047,127.96
29,bluz,1041,123.55
30,tshirt,1038,119.43
31,sweatshirt,1011,115.58
32,ceket,1002,111.97
33,elbis,990,108.58
34,etek,921,105.38
35,özel,718,102.37
36,yapısıyl,718,99.53
37,gardırobunuz,715,96.84
38,vazgeçilmezi,715,94.29
39,olma,715,91.87
40,aday,715,89.58
41,ofisten,711,87.39
42,sokağ,711,85.31
43,ortam,711,83.33
44,uyum,711,81.43
45,sağ,711,79.62
46,modeli,711,77.89
47,kumaştan,711,76.23
48,üretilmiş,711,74.65
49,olup,711,73.12
50,şıklık,703,71.66
